  MPa,  degC,     vf,     vg,      uf,      ug,     hf,     hfg      ,    hg,      sf,   sfg,    sg, 
0.001,7.0,0.001000,129.2,29.3,2384.5,29.3,2484.4,2513.7,0.1059,8.8690,8.9749,
0.0012,9.7,0.001000,108.7,40.6,2388.2,40.6,2478.0,2518.6,0.1460,8.7623,8.9082,
0.0014,12.0,0.001001,93.90,50.3,2391.3,50.3,2472.5,2522.8,0.1802,8.6720,8.8521,
0.0016,14.0,0.001001,82.74,58.8,2394.1,58.8,2467.7,2526.5,0.2100,8.5935,8.8035,
0.0018,15.8,0.001001,74.01,66.5,2396.6,66.5,2463.4,2529.9,0.2366,8.5242,8.7608,
0.002,17.5,0.001001,66.99,73.4,2398.9,73.4,2459.5,2532.9,0.2606,8.4620,8.7226,
0.003,24.1,0.001003,45.65,101.0,2407.9,101.0,2443.8,2544.8,0.3543,8.2221,8.5764,
0.004,29.0,0.001004,34.79,121.4,2414.5,121.4,2432.3,2553.7,0.4224,8.0510,8.4734,
0.006,36.2,0.001007,23.73,151.5,2424.2,151.5,2415.1,2566.6,0.5208,7.8082,8.3290,
0.008,41.5,0.001009,18.10,173.8,2431.4,173.8,2402.4,2576.2,0.5925,7.6348,8.2273,
0.01,45.8,0.001010,14.67,191.8,2437.2,191.8,2392.1,2583.9,0.6492,7.4996,8.1488,
0.012,49.4,0.001012,12.36,206.9,2442.0,206.9,2383.4,2590.3,0.6963,7.3886,8.0849,
0.014,52.5,0.001013,10.69,220.0,2446.1,220.0,2375.8,2595.8,0.7366,7.2945,8.0311,
0.016,55.3,0.001015,9.431,231.6,2449.8,231.6,2369.0,2600.6,0.7720,7.2126,7.9846,
0.018,57.8,0.001016,8.443,242.0,2453.0,242.0,2363.0,2605.0,0.8036,7.1402,7.9437,
0.02,60.1,0.001017,7.648,251.4,2456.0,251.4,2357.5,2608.9,0.8320,7.0752,7.9072,
0.03,69.1,0.001022,5.228,289.2,2467.7,289.3,2335.2,2624.5,0.9441,6.8234,7.7675,
0.04,75.9,0.001026,3.993,317.6,2476.3,317.6,2318.5,2636.1,1.0261,6.6429,7.6690,
0.06,85.9,0.001033,2.732,359.8,2489.0,359.9,2293.0,2652.9,1.1454,6.3857,7.5311,
0.08,93.5,0.001039,2.087,391.6,2498.2,391.7,2273.5,2665.2,1.2330,6.2009,7.4339,
0.1,99.6,0.001043,1.694,417.4,2505.6,417.5,2257.4,2674.9,1.3028,6.0560,7.3588,
0.12,104.8,0.001047,1.428,439.2,2511.7,439.4,2243.7,2683.1,1.3609,5.9368,7.2977,
0.14,109.3,0.001051,1.237,458.3,2516.9,458.4,2231.6,2690.0,1.4110,5.8351,7.2461,
0.16,113.3,0.001054,1.091,475.2,2521.4,475.4,2220.6,2696.0,1.4551,5.7463,7.2014,
0.18,116.9,0.001058,0.9775,490.5,2525.5,490.7,2210.7,2701.4,1.4945,5.6676,7.1621,
0.2,120.2,0.001061,0.8857,504.5,2529.1,504.7,2201.5,2706.2,1.5302,5.5967,7.1269,
0.3,133.5,0.001073,0.6058,561.1,2543.2,561.4,2163.5,2724.9,1.6717,5.3199,6.9916,
0.4,143.6,0.001084,0.4624,604.2,2553.1,604.7,2133.5,2738.1,1.7765,5.1190,6.8955,
0.6,158.8,0.001101,0.3156,669.7,2566.8,670.4,2085.7,2756.1,1.9308,4.8284,6.7592,
0.8,170.4,0.001115,0.2403,720.0,2576.0,720.9,2047.4,2768.3,2.0457,4.6159,6.6616,
1,179.9,0.001127,0.1944,761.4,2582.7,762.5,2014.6,2777.1,2.1381,4.4469,6.5850,
1.2,188.0,0.001139,0.1633,797.0,2587.8,798.3,1985.4,2783.7,2.2159,4.3058,6.5217,
1.4,195.0,0.001149,0.1408,828.4,2591.8,830.0,1958.8,2788.8,2.2835,4.1840,6.4675,
1.6,201.4,0.001159,0.1237,856.6,2594.8,858.5,1934.3,2792.8,2.3435,4.0764,6.4199,
1.8,207.1,0.001168,0.1104,882.4,2597.2,884.5,1911.4,2795.9,2.3975,3.9800,6.3775,
2,212.4,0.001177,0.09959,906.1,2599.1,908.5,1889.8,2798.3,2.4468,3.8922,6.3390,
3,233.9,0.001217,0.06666,1004.7,2603.2,1008.3,1794.9,2803.2,2.6455,3.5401,6.1856,
4,250.4,0.001253,0.04978,1082.5,2601.7,1087.5,1713.3,2800.8,2.7968,3.2728,6.0696,
6,275.6,0.001319,0.03245,1206.0,2589.9,1213.9,1570.7,2784.6,3.0278,2.8623,5.8901,
8,295.0,0.001385,0.02353,1306.2,2570.5,1317.3,1441.4,2758.7,3.2081,2.5369,5.7450,
10,311.0,0.001453,0.01803,1393.5,2545.2,1408.1,1317.4,2725.5,3.3606,2.2554,5.6160,
12,324.7,0.001526,0.01426,1473.1,2514.3,1491.5,1193.9,2685.4,3.4967,1.9972,5.4939,
14,336.7,0.001610,0.01149,1548.4,2477.1,1571.0,1066.9,2637.9,3.6232,1.7495,5.3727,
16,347.4,0.001709,0.009309,1622.3,2431.8,1649.7,931.1,2580.8,3.7457,1.5006,5.2463,
18,357.0,0.001840,0.007502,1699.0,2374.8,1732.1,777.7,2509.8,3.8718,1.2343,5.1061,
20,365.8,0.002040,0.005865,1786.4,2295.0,1827.2,585.1,2412.3,4.0156,0.9158,4.9314,
22.064,373.95,0.003106,0.003106,2015.7,2015.7,2084.3,0.0,2084.3,4.4070,0.0,4.4070,
